"","X","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"16",0,182.434,-53.724,12.922,-96.085,-203.8,-215.71,-72.5070000000001,-1.22300000000001,26.651,13.953,113.266,26.067,-66.696,194.852,44.478,50.557,159.023
"17",0,89.6210000000001,-66.0500000000001,-57.319,-90.23,-130.007,-201.404,-31.1029999999998,-12.748,-51.9229999999999,11.717,214.481,22.944,4.428,225.613,41.826,-4.35300000000007,105.585
"18",0,52.5319999999999,-84.007,-27.5639999999999,-99.227,-158.117,-205.619,-8.03499999999985,5.53299999999999,-24.235,15.064,100.078,8.935,61.356,106.567,5.42000000000002,40.3240000000001,101.407
"19",0,129.318,-62.603,-12.4189999999999,-87.224,-130.374,-172.268,-115.707,11.848,-41.852,7.98500000000001,195.604,19.51,-15.7470000000001,147.413,-14.579,-2.6579999999999,51.4269999999997
"20",0,115.663,-101.226,-99.7180000000001,-102.847,-142.625,-191.368,-171.971,-21.907,-36.8219999999999,9.99700000000001,105.399,7.82399999999998,-0.663999999999987,0.6400000000001,15.89,17.0510000000002,275.929
"21",0,59.3810000000001,-42.833,75.252,-77.333,-134.646,-168.537,-75.7549999999999,-7.78,7.06,10.587,47.236,20.367,-10.798,137.16,18.696,2.40300000000002,212.071
"22",0,141.302,-80.1460000000001,4.303,-63.697,-170.723,-161.141,-128.2,30.961,64.8890000000001,23.62,-14.3009999999999,12.872,-15.194,27.2529999999999,77.606,-8.3449999999998,271.16
"23",0,185.712,-46.154,45.689,-80.58,-225.042,-192.026,-38.3430000000001,22.876,53.451,16.505,-108.28,12.27,40.156,130.075,41.15,16.6109999999999,404.812
"24",0,150.436,-45.894,60.182,-71.545,-203.44,-178.211,-128.939,13.201,-1.42200000000003,3.25400000000002,-75.258,30.103,53.811,175.019,10.91,38.9769999999999,490.179
"25",0,85.479,-78.332,68.403,-73.545,-135.124,-184.985,-71.4340000000001,-1.65800000000002,33.518,-3.30900000000003,-50.3330000000001,10.37,-8.85500000000002,252.246,-4.09199999999998,-44.6089999999999,307.361
